Name,Created at,Cancelled at,Lineitem name,Lineitem quantity,Lineitem price,Lineitem discount,Financial Status,Fulfillment Status,Subtotal,Total Discount,Shipping,Taxes,Total,Currency,Customer Email,Billing Name,Shipping Province,Shipping Country
#1655,2025-05-12 00:21:00,,Repair Eye Gel G,2,45.0,0.0,paid,fulfilled,181.0,0.0,0.0,25.15,206.15,USD,hxmjpivo8@gmail.com,Customer 8,VIC,Australia
#2480,2025-05-02 14:30:00,,Repair Eye Gel G,4,45.0,29.37,paid,fulfilled,180.0,29.37,9.99,14.49,175.11,USD,szgmrzm8@yahoo.com,Customer 8,WA,United States
#2443,2025-04-21 21:56:00,,Revive Mask M,1,29.0,0.0,paid,fulfilled,153.0,0.0,6.99,11.73,171.72,USD,hmhllmt384@yahoo.com,Customer 384,IL,United States
#2359,2025-07-04 08:27:00,,Starter Kit C,1,79.0,22.37,paid,fulfilled,342.0,92.5,6.99,22.48,278.97,USD,fqphbjditg147@brand.com,Customer 1147,IL,United States
#3649,2025-08-13 10:27:00,,Revive Mask M,1,29.0,0.0,paid,fulfilled,108.0,0.0,0.0,10.77,118.77,USD,awojfke8@gmail.com,Customer 8,NSW,Australia
#1498,2024-08-26 12:47:00,,Revive Mask M,3,29.0,32.87,paid,fulfilled,280.0,110.73,0.0,10.6,179.87,USD,gjeenlnvzo8@brand.com,Customer 8,WA,United States
#1555,2025-06-26 01:06:00,,Leggings 01,1,49.0,0.0,paid,fulfilled,49.0,0.0,0.0,5.4,54.4,USD,qfftabhcax8@yahoo.com,Customer 8,VIC,Australia
#2313,2024-10-03 08:28:00,,Radiance Serum A,1,39.0,0.0,paid,fulfilled,67.0,0.0,0.0,5.79,72.79,USD,optcztaul384@gmail.com,Customer 384,IL,United States
#1865,2025-05-29 20:42:00,,Classic Tee 01,2,22.0,0.0,paid,fulfilled,139.0,0.0,4.99,9.28,153.27,USD,htjcwikn147@yahoo.com,Customer 1147,BC,Canada
#1988,2024-08-27 00:43:00,,Premium Tee 02,1,28.0,1.59,paid,fulfilled,168.0,12.99,0.0,14.4,169.41,USD,xyssvnnpsm8@brand.com,Customer 8,CA,United States
#1855,2025-04-15 23:38:00,,Leggings 01,1,49.0,6.11,paid,fulfilled,49.0,6.11,0.0,4.89,47.78,USD,phuxgar384@gmail.com,Customer 384,VIC,Australia
#2112,2025-05-03 11:01:00,,Repair Eye Gel G,1,45.0,0.0,paid,fulfilled,45.0,0.0,4.99,4.09,54.08,USD,svnynpoj8@gmail.com,Customer 8,QC,Canada
#2946,2025-03-18 22:36:00,,Socks 3-Pack,1,14.0,0.0,paid,fulfilled,14.0,0.0,4.99,2.86,21.85,USD,pydjbqi147@brand.com,Customer 1147,ENG,United Kingdom
#2831,2024-10-21 10:50:00,,Classic Tee 01,2,22.0,0.0,paid,fulfilled,158.0,0.0,4.99,13.8,176.79,USD,sbravwzcwu8@yahoo.com,Customer 8,ENG,United Kingdom
#1870,2024-11-21 18:51:00,,Socks 3-Pack,1,14.0,0.0,paid,fulfilled,14.0,0.0,0.0,1.16,15.16,USD,axamfrbyy124@brand.com,Customer 1124,WA,United States
#1272,2025-06-24 02:32:00,,Premium Tee 02,1,28.0,0.0,paid,unfulfilled,28.0,0.0,6.99,2.77,37.76,USD,zqtzytxhk8@yahoo.com,Customer 8,FL,United States
#1436,2024-09-05 10:01:00,,Clarifying Toner X,3,25.0,0.0,paid,fulfilled,75.0,0.0,0.0,5.31,80.31,USD,ywrydpep366@gmail.com,Customer 1366,IL,United States
#2098,2025-06-04 23:15:00,,Hoodie 01,1,55.0,15.94,paid,fulfilled,104.0,28.33,9.99,7.78,93.44,USD,liwtvtk147@gmail.com,Customer 1147,TX,United States
#2248,2024-08-29 07:44:00,,Light Jacket 01,1,79.0,0.0,paid,unfulfilled,79.0,0.0,0.0,7.23,86.23,USD,qcrsedaor124@hotmail.com,Customer 1124,IL,United States
#1793,2024-11-27 06:40:00,,Light Jacket 01,1,79.0,2.65,refunded,unfulfilled,124.0,4.13,6.99,10.64,0.0,USD,dzrxtoif384@brand.com,Customer 384,CA,United States
#1969,2024-08-30 06:21:00,,Foam Cleanser F,1,21.0,0.0,paid,partial,21.0,0.0,6.99,1.8,29.79,USD,aykhhhp384@yahoo.com,Customer 384,FL,United States
#2954,2024-08-27 01:39:00,,Cap 01,1,19.0,0.0,paid,fulfilled,98.0,0.0,4.99,7.17,110.16,USD,yxvasdo8@brand.com,Customer 8,FL,United States
#1213,2025-01-19 04:03:00,,Light Jacket 01,1,79.0,0.0,paid,fulfilled,79.0,0.0,4.99,7.86,91.85,USD,rtkvstzmb8@brand.com,Customer 8,ON,Canada
#2620,2024-10-16 20:21:00,,Starter Kit C,1,79.0,0.0,paid,fulfilled,79.0,0.0,9.99,5.51,94.5,USD,kfeygnj8@gmail.com,Customer 8,ON,Canada
#1235,2024-12-08 23:39:00,,Radiance Serum A,1,39.0,0.0,paid,fulfilled,39.0,0.0,6.99,6.38,52.37,USD,zopppwe8@brand.com,Customer 8,NSW,Australia
#1883,2024-09-02 16:47:00,,Socks 3-Pack,1,14.0,0.52,paid,fulfilled,69.0,2.33,4.99,4.97,76.63,USD,rdsmef384@gmail.com,Customer 384,NY,United States
#3175,2025-08-20 09:03:00,,Glow Oil L,1,35.0,0.0,paid,partial,35.0,0.0,0.0,2.34,37.34,USD,btruxcal147@yahoo.com,Customer 1147,QC,Canada
#2139,2025-06-21 01:18:00,,Hoodie 01,1,55.0,12.31,refunded,fulfilled,160.0,34.74,0.0,9.49,0.0,USD,vjpodwm147@gmail.com,Customer 1147,BC,Canada
#2741,2024-08-26 16:43:00,,Hydra Cream B,1,49.0,0.0,paid,fulfilled,49.0,0.0,0.0,3.41,52.41,USD,wxhecgb8@brand.com,Customer 8,FL,United States
#2624,2025-05-27 20:19:00,,Premium Tee 02,2,28.0,0.0,paid,fulfilled,217.0,0.0,0.0,24.15,241.15,USD,vqyigy8@hotmail.com,Customer 8,NSW,Australia
#3127,2025-07-21 16:08:00,,Foam Cleanser F,1,21.0,0.0,paid,fulfilled,21.0,0.0,0.0,2.29,23.29,USD,hqdfkb147@hotmail.com,Customer 1147,ENG,United Kingdom
#3234,2025-03-17 19:04:00,,Premium Tee 02,1,28.0,0.0,refunded,fulfilled,28.0,0.0,0.0,2.39,0.0,USD,efvbbodhys147@brand.com,Customer 1147,NY,United States
#1408,2025-03-01 18:01:00,,Socks 3-Pack,2,14.0,0.0,paid,fulfilled,28.0,0.0,0.0,1.95,29.95,USD,yijixfxmex8@yahoo.com,Customer 8,FL,United States
#3600,2025-03-07 17:28:00,,Clarifying Toner X,2,25.0,0.0,paid,fulfilled,107.0,0.0,0.0,9.43,116.43,USD,gcdhvrw384@yahoo.com,Customer 384,WA,United States
#2540,2025-02-18 19:49:00,,Hoodie 01,1,55.0,12.86,paid,fulfilled,55.0,12.86,0.0,3.52,45.66,USD,hbaneosp8@brand.com,Customer 8,IL,United States
#3315,2025-06-28 17:25:00,,Shorts 01,2,35.0,0.0,paid,fulfilled,144.0,0.0,0.0,13.05,157.05,USD,skuhnpkqmu8@yahoo.com,Customer 8,IL,United States
#2072,2024-10-23 22:53:00,,Starter Kit C,1,79.0,0.0,paid,fulfilled,217.0,0.0,0.0,14.57,231.57,USD,klgnmx8@yahoo.com,Customer 8,FL,United States
#1641,2024-10-18 22:00:00,,Light Jacket 01,1,79.0,0.0,paid,fulfilled,134.0,0.0,4.99,12.95,151.94,USD,ijpvqsl8@brand.com,Customer 8,TX,United States
#1920,2024-11-07 10:25:00,,Glow Oil L,1,35.0,5.65,paid,fulfilled,82.0,12.11,4.99,6.43,81.31,USD,bnzjimfbar8@hotmail.com,Customer 8,NSW,Australia
#2932,2025-05-08 18:13:00,,Foam Cleanser F,1,21.0,0.0,paid,fulfilled,21.0,0.0,0.0,3.25,24.25,USD,vfpcbjqom384@brand.com,Customer 384,NSW,Australia
#3042,2025-02-20 06:07:00,,Light Jacket 01,1,79.0,3.81,paid,fulfilled,249.0,11.08,6.99,18.59,263.5,USD,nxjgyen8@gmail.com,Customer 8,IL,United States
#2010,2025-04-25 16:54:00,,Leggings 01,1,49.0,6.4,paid,fulfilled,49.0,6.4,6.99,3.7,53.29,USD,qynqoo147@yahoo.com,Customer 1147,ON,Canada
#3332,2025-08-05 06:08:00,,Hoodie 01,2,55.0,0.0,paid,fulfilled,110.0,0.0,0.0,11.67,121.67,USD,vqgindpj147@gmail.com,Customer 1147,ENG,United Kingdom
#1222,2024-12-17 04:47:00,,Foam Cleanser F,1,21.0,0.0,paid,fulfilled,254.0,0.0,9.99,41.99,305.98,USD,sbluzdir8@brand.com,Customer 8,ENG,United Kingdom
#3489,2025-03-19 17:56:00,,Clarifying Toner X,1,25.0,0.0,paid,fulfilled,183.0,0.0,4.99,16.4,204.39,USD,eluazm8@brand.com,Customer 8,CA,United States
#1896,2024-11-15 10:17:00,,Starter Kit C,2,79.0,32.43,paid,fulfilled,158.0,32.43,0.0,8.85,134.42,USD,wzuiyqlc147@yahoo.com,Customer 1147,TX,United States
#1610,2025-04-14 08:28:00,,Shorts 01,2,35.0,0.0,partially_refunded,fulfilled,125.0,0.0,0.0,8.03,74.1,USD,sordxawn465@yahoo.com,Customer 465,TX,United States
#2936,2024-12-18 07:33:00,,Revive Mask M,1,29.0,0.0,paid,fulfilled,29.0,0.0,4.99,2.94,36.93,USD,qnmtbq147@gmail.com,Customer 1147,WA,United States
#2696,2025-07-01 22:56:00,,Revive Mask M,3,29.0,0.0,paid,fulfilled,122.0,0.0,9.99,9.48,141.47,USD,exenpkjsqb384@yahoo.com,Customer 384,ON,Canada
#1648,2025-01-09 08:04:00,,Classic Tee 01,2,22.0,9.09,paid,fulfilled,114.0,22.97,9.99,8.97,109.99,USD,mgoumox147@hotmail.com,Customer 1147,TX,United States
#2290,2025-06-11 11:07:00,,Classic Tee 01,1,22.0,0.0,paid,partial,22.0,0.0,4.99,2.36,29.35,USD,jqqsrbgjqf8@brand.com,Customer 8,CA,United States
#3265,2024-11-06 21:47:00,,Cap 01,1,19.0,0.0,paid,fulfilled,137.0,0.0,0.0,22.79,159.79,USD,lhqqjcx8@brand.com,Customer 8,NSW,Australia
#3620,2025-03-08 10:44:00,,Hydra Cream B,2,49.0,0.0,paid,fulfilled,98.0,0.0,6.99,13.99,118.98,USD,gbcvkby124@brand.com,Customer 1124,VIC,Australia
#1742,2025-01-17 11:30:00,,Socks 3-Pack,1,14.0,0.75,paid,fulfilled,14.0,0.75,4.99,1.36,19.6,USD,obqrxdo147@gmail.com,Customer 1147,NY,United States
#1789,2024-11-04 15:32:00,,Glow Oil L,1,35.0,0.0,paid,unfulfilled,186.0,0.0,6.99,17.41,210.4,USD,xletvqyh8@gmail.com,Customer 8,CA,United States
#3003,2024-10-18 05:31:00,,Glow Oil L,1,35.0,8.72,paid,fulfilled,213.0,50.0,6.99,12.0,181.99,USD,sfvbkdyau8@gmail.com,Customer 8,TX,United States
#3011,2024-12-17 03:13:00,,Light Jacket 01,4,79.0,0.0,paid,fulfilled,341.0,0.0,0.0,29.19,370.19,USD,ocsifzi8@yahoo.com,Customer 8,WA,United States
#3292,2025-04-19 20:29:00,,Hoodie 01,1,55.0,0.0,paid,fulfilled,128.0,0.0,9.99,8.32,146.31,USD,aloujohfaq384@brand.com,Customer 384,WA,United States
#1266,2025-04-20 06:40:00,,Classic Tee 01,1,22.0,0.0,paid,fulfilled,50.0,0.0,0.0,6.41,56.41,USD,iaummit147@hotmail.com,Customer 1147,NSW,Australia
#2137,2025-01-22 05:49:00,,Repair Eye Gel G,3,45.0,15.08,paid,fulfilled,135.0,15.08,4.99,16.13,141.04,USD,tgcahosks8@gmail.com,Customer 8,ENG,United Kingdom
#3365,2025-04-13 13:06:00,,Classic Tee 01,2,22.0,0.0,paid,unfulfilled,94.0,0.0,4.99,7.02,106.01,USD,dqogoflra8@yahoo.com,Customer 8,QC,Canada
#3365,2025-04-13 13:06:00,,Clarifying Toner X,1,25.0,0.0,paid,unfulfilled,94.0,0.0,4.99,7.02,106.01,USD,xeqbfgqi8@hotmail.com,Customer 8,QC,Canada
#1504,2025-04-02 14:13:00,,Revive Mask M,2,29.0,11.78,paid,partial,186.0,31.31,0.0,18.17,172.86,USD,uwovgw8@yahoo.com,Customer 8,VIC,Australia
#2884,2025-04-16 21:05:00,,Foam Cleanser F,1,21.0,0.0,paid,fulfilled,212.0,0.0,4.99,14.09,231.08,USD,vuhcmi8@brand.com,Customer 8,NY,United States
#1307,2025-04-27 19:44:00,,Hoodie 01,2,55.0,42.56,refunded,fulfilled,110.0,42.56,0.0,5.38,0.0,USD,ktemydjvv384@gmail.com,Customer 384,IL,United States
#2261,2025-08-04 14:27:00,,Light Jacket 01,1,79.0,10.31,paid,fulfilled,79.0,10.31,6.99,7.1,82.78,USD,dzakiz8@brand.com,Customer 8,IL,United States
#2172,2025-07-08 21:35:00,,Repair Eye Gel G,1,45.0,0.0,paid,fulfilled,117.0,0.0,0.0,10.02,127.02,USD,nutippsn147@hotmail.com,Customer 1147,IL,United States
#1263,2025-03-28 19:41:00,,Repair Eye Gel G,1,45.0,0.0,refunded,fulfilled,45.0,0.0,0.0,6.78,0.0,USD,betomcfo147@brand.com,Customer 1147,NSW,Australia
#1496,2024-11-24 07:36:00,,Leggings 01,1,49.0,2.38,paid,fulfilled,49.0,2.38,9.99,5.03,61.64,USD,yqqzzcg384@hotmail.com,Customer 384,TX,United States
#1680,2025-07-12 18:42:00,,Starter Kit C,1,79.0,0.0,paid,fulfilled,158.0,0.0,0.0,14.15,172.15,USD,bkhobnru147@gmail.com,Customer 1147,TX,United States
#2310,2024-09-08 18:14:00,,Hoodie 01,3,55.0,0.0,paid,fulfilled,231.0,0.0,4.99,14.42,250.41,USD,maonii681@yahoo.com,Customer 681,WA,United States
#3147,2024-09-07 05:58:00,,Cap 01,1,19.0,0.0,paid,fulfilled,221.0,0.0,4.99,23.03,249.02,USD,zltznhjl147@gmail.com,Customer 1147,VIC,Australia
#1569,2024-09-28 08:50:00,,Foam Cleanser F,1,21.0,0.81,paid,fulfilled,46.0,1.86,0.0,4.19,48.33,USD,dvaveuoefa8@yahoo.com,Customer 8,NSW,Australia
#2210,2024-11-27 22:44:00,,Radiance Serum A,2,39.0,18.74,paid,fulfilled,106.0,28.07,0.0,5.54,83.47,USD,cdxhdlybm147@gmail.com,Customer 1147,FL,United States
#3522,2025-05-07 19:22:00,,Shorts 01,2,35.0,17.81,paid,fulfilled,120.0,26.55,0.0,6.33,99.78,USD,ahnujkgt147@hotmail.com,Customer 1147,TX,United States
#3643,2025-05-19 07:47:00,,Clarifying Toner X,1,25.0,4.24,paid,fulfilled,208.0,36.83,0.0,13.02,184.19,USD,hazmcgx8@gmail.com,Customer 8,CA,United States
#1197,2025-01-26 13:19:00,,Leggings 01,2,49.0,0.0,paid,fulfilled,297.0,0.0,4.99,39.3,341.29,USD,wvyncub8@gmail.com,Customer 8,ENG,United Kingdom
#1350,2025-06-03 00:24:00,,Revive Mask M,2,29.0,0.0,paid,fulfilled,137.0,0.0,0.0,9.0,146.0,USD,vpmsnbtjd8@yahoo.com,Customer 8,ON,Canada
#2532,2024-09-21 03:50:00,,Radiance Serum A,1,39.0,10.16,paid,fulfilled,84.0,19.07,6.99,4.78,76.7,USD,tffawyoxs147@yahoo.com,Customer 1147,NY,United States
#2203,2025-07-29 20:20:00,,Cap 01,2,19.0,0.0,paid,fulfilled,108.0,0.0,0.0,11.51,119.51,USD,ypjejppr8@gmail.com,Customer 8,ENG,United Kingdom
#2231,2024-10-03 03:25:00,,Hoodie 01,1,55.0,5.33,paid,fulfilled,267.0,31.48,0.0,19.17,254.69,USD,deoqpvht384@hotmail.com,Customer 384,IL,United States
#2342,2025-06-06 07:29:00,,Glow Oil L,1,35.0,0.0,paid,fulfilled,63.0,0.0,9.99,5.82,78.81,USD,clcbmo147@gmail.com,Customer 1147,TX,United States
#2587,2025-08-08 12:37:00,,Classic Tee 01,2,22.0,12.26,paid,fulfilled,164.0,43.29,4.99,11.25,136.95,USD,bvwjwd8@yahoo.com,Customer 8,ENG,United Kingdom
#1344,2024-09-06 05:30:00,,Revive Mask M,1,29.0,0.0,paid,fulfilled,29.0,0.0,0.0,2.31,31.31,USD,ksjxat384@hotmail.com,Customer 384,IL,United States
#1164,2025-05-21 15:48:00,,Hoodie 01,1,55.0,8.05,paid,fulfilled,145.0,27.34,0.0,9.46,127.12,USD,efuvbez8@brand.com,Customer 8,CA,United States
#1454,2025-02-05 15:00:00,,Glow Oil L,1,35.0,0.0,paid,fulfilled,35.0,0.0,0.0,2.39,37.39,USD,vbtrpvq480@yahoo.com,Customer 480,BC,Canada
#2330,2025-04-01 20:35:00,,Leggings 01,4,49.0,0.0,paid,fulfilled,273.0,0.0,4.99,49.01,327.0,USD,affuhbhxf8@hotmail.com,Customer 8,VIC,Australia
#3417,2024-11-23 21:00:00,,Hoodie 01,3,55.0,0.0,paid,fulfilled,200.0,0.0,0.0,16.65,216.65,USD,baayudpu8@yahoo.com,Customer 8,VIC,Australia
#1615,2025-07-07 23:06:00,,Repair Eye Gel G,1,45.0,15.54,paid,partial,200.0,73.74,0.0,12.65,138.91,USD,ramzaf147@brand.com,Customer 1147,NSW,Australia
#2619,2025-02-28 03:49:00,,Starter Kit C,1,79.0,0.0,paid,fulfilled,143.0,0.0,0.0,11.25,154.25,USD,kylezjad8@brand.com,Customer 8,QC,Canada
#2578,2025-08-02 13:08:00,,Repair Eye Gel G,1,45.0,0.0,paid,fulfilled,180.0,0.0,4.99,13.09,198.08,USD,abcnwnrz147@yahoo.com,Customer 1147,QC,Canada
#1162,2024-11-15 10:29:00,,Leggings 01,1,49.0,17.71,paid,fulfilled,183.0,69.31,9.99,10.41,134.09,USD,iuzvkbn442@gmail.com,Customer 1442,FL,United States
#2834,2025-01-02 05:35:00,,Foam Cleanser F,1,21.0,7.82,paid,unfulfilled,236.0,102.22,4.99,8.86,147.63,USD,rsrkztjg384@yahoo.com,Customer 384,IL,United States
#3180,2025-02-14 22:02:00,,Glow Oil L,1,35.0,1.71,paid,fulfilled,35.0,1.71,6.99,2.85,43.13,USD,tgsrwauym366@yahoo.com,Customer 1366,FL,United States
#2929,2025-08-14 16:27:00,,Repair Eye Gel G,2,45.0,0.0,paid,fulfilled,195.0,0.0,9.99,14.3,219.29,USD,mfrubgsybs124@gmail.com,Customer 1124,NY,United States
#2225,2024-11-09 15:19:00,,Premium Tee 02,1,28.0,0.0,paid,fulfilled,28.0,0.0,6.99,2.42,37.41,USD,gfzarxeobr147@gmail.com,Customer 1147,NY,United States
#2190,2025-05-06 21:19:00,,Premium Tee 02,1,28.0,0.0,paid,partial,78.0,0.0,0.0,7.01,85.01,USD,ymprktgnob147@brand.com,Customer 1147,CA,United States
#2805,2025-08-19 21:08:00,,Glow Oil L,1,35.0,0.0,partially_refunded,partial,73.0,0.0,6.99,14.01,65.79,USD,mezasexczq147@brand.com,Customer 1147,VIC,Australia
#1420,2025-02-28 02:48:00,,Glow Oil L,3,35.0,0.0,paid,fulfilled,127.0,0.0,6.99,10.46,144.45,USD,qtcrpcphr8@yahoo.com,Customer 8,TX,United States
#3330,2024-08-31 08:17:00,,Classic Tee 01,1,22.0,0.0,refunded,fulfilled,187.0,0.0,6.99,17.6,0.0,USD,xzjpth147@hotmail.com,Customer 1147,WA,United States
#1914,2024-09-03 17:04:00,,Classic Tee 01,3,22.0,7.37,paid,fulfilled,229.0,25.97,0.0,16.07,219.1,USD,jheemf833@hotmail.com,Customer 833,CA,United States
#3419,2024-10-06 10:14:00,,Foam Cleanser F,1,21.0,4.23,paid,fulfilled,21.0,4.23,0.0,1.49,18.26,USD,qrurnmpo147@yahoo.com,Customer 1147,VIC,Australia
#2088,2024-10-03 19:24:00,,Glow Oil L,1,35.0,0.0,paid,fulfilled,98.0,0.0,6.99,7.08,112.07,USD,gzgzbmus147@brand.com,Customer 1147,ON,Canada
#3147,2024-09-07 05:58:00,,Hoodie 01,1,55.0,0.0,paid,fulfilled,221.0,0.0,4.99,23.03,249.02,USD,wjwryqr147@brand.com,Customer 1147,VIC,Australia
#2355,2025-04-23 03:50:00,,Cap 01,1,19.0,0.0,paid,unfulfilled,61.0,0.0,0.0,4.25,65.25,USD,bxnqnim147@brand.com,Customer 1147,CA,United States
#1998,2025-05-17 04:43:00,,Starter Kit C,1,79.0,0.0,paid,fulfilled,237.0,0.0,6.99,17.68,261.67,USD,ewsmtmi147@gmail.com,Customer 1147,ON,Canada
#2036,2025-05-30 23:17:00,,Hoodie 01,1,55.0,6.49,paid,fulfilled,317.0,44.19,4.99,24.6,302.4,USD,bmrhtd124@hotmail.com,Customer 1124,WA,United States
#2471,2025-03-01 16:40:00,,Foam Cleanser F,1,21.0,0.25,paid,partial,21.0,0.25,4.99,2.15,27.89,USD,xcupvrfx124@brand.com,Customer 1124,WA,United States
#3656,2025-05-24 15:39:00,,Premium Tee 02,4,28.0,0.0,paid,fulfilled,141.0,0.0,0.0,27.37,168.37,USD,bnvvmd8@hotmail.com,Customer 8,VIC,Australia
#2262,2025-03-02 07:39:00,,Light Jacket 01,1,79.0,0.0,paid,fulfilled,79.0,0.0,0.0,5.54,84.54,USD,hwetkmfgwj8@hotmail.com,Customer 8,CA,United States
#3490,2025-04-16 22:02:00,,Light Jacket 01,2,79.0,0.0,paid,fulfilled,158.0,0.0,0.0,14.38,172.38,USD,ofkwygzqq384@gmail.com,Customer 384,NY,United States
#2039,2024-12-12 02:48:00,,Classic Tee 01,1,22.0,0.0,paid,partial,22.0,0.0,6.99,4.76,33.75,USD,zfwyofbee56@yahoo.com,Customer 56,NSW,Australia
#1577,2025-06-27 09:12:00,,Foam Cleanser F,1,21.0,3.45,paid,fulfilled,84.0,13.76,0.0,4.35,74.59,USD,nzxrsduax384@gmail.com,Customer 384,CA,United States
#3566,2024-09-25 07:10:00,,Hydra Cream B,3,49.0,0.0,paid,fulfilled,202.0,0.0,0.0,12.23,214.23,USD,bfnittqwdt384@hotmail.com,Customer 384,BC,Canada
#2953,2025-08-25 08:43:00,,Premium Tee 02,3,28.0,0.0,paid,fulfilled,152.0,0.0,6.99,23.13,182.12,USD,kjsalzjfl384@gmail.com,Customer 384,VIC,Australia
#1438,2025-03-27 21:15:00,,Radiance Serum A,1,39.0,0.0,paid,fulfilled,61.0,0.0,4.99,5.45,71.44,USD,gqdntikqx147@yahoo.com,Customer 1147,TX,United States
#2219,2025-06-18 11:00:00,,Socks 3-Pack,1,14.0,5.46,paid,fulfilled,14.0,5.46,0.0,0.57,9.11,USD,ijsjjfz8@yahoo.com,Customer 8,TX,United States
