order_id,created_at,Cancelled at,lineitem_name,lineitem_quantity,lineitem_price,lineitem_discount,Financial Status,Fulfillment Status,Subtotal,total_discount,Shipping,Taxes,total,Currency,customer_email,Billing Name,Shipping Province,Shipping Country,AOV_sub,AOV_Tot,last28,,
#9431,11/6/24 4:07,,Hydra Cream B,1,49,0,paid,fulfilled,242,0,4.99,20.67,267.66,USD,hpqlvjwk173@brand.com,Customer 2173,NSW,Australia,242,267.66,FALSE,,
#11203,8/5/25 0:27,,Shorts 01,1,35,10.26,paid,fulfilled,253,58.1,6.99,38.26,240.15,USD,rrdxybpwij173@gmail.com,Customer 2173,NSW,Australia,194.9,240.15,FALSE,,
#4308,4/10/25 3:52,,Shorts 01,2,35,0,paid,partial,219,0,0,20.32,239.32,USD,vymuurtvb173@hotmail.com,Customer 2173,QC,Canada,219,239.32,FALSE,,
#2739,2/21/25 21:23,,Foam Cleanser F,1,21,0,paid,fulfilled,21,0,0,1.95,22.95,USD,baikvbt937@brand.com,Customer 937,VIC,Australia,21,22.95,FALSE,,
#2937,10/7/24 0:50,,Radiance Serum A,1,39,0,paid,partial,157,0,4.99,11.05,173.04,USD,zdprurftfu471@yahoo.com,Customer 1471,NY,United States,157,173.04,FALSE,,
#7016,1/25/25 10:06,,Cap 01,3,19,5.48,paid,partial,57,5.48,6.99,4.98,63.49,USD,xlcolq173@yahoo.com,Customer 2173,WA,United States,51.52,63.49,FALSE,,
#4789,7/18/25 8:18,,Light Jacket 01,2,79,0,paid,fulfilled,158,0,0,14.67,172.67,USD,gbjrkhnxpz173@hotmail.com,Customer 2173,ON,Canada,158,172.67,FALSE,,
#3685,11/21/24 8:26,,Foam Cleanser F,3,21,0,paid,fulfilled,256,0,0,19.78,275.78,USD,ifojjbcrrt937@yahoo.com,Customer 937,BC,Canada,256,275.78,FALSE,,
#9629,6/12/25 9:26,,Revive Mask M,1,29,0,paid,fulfilled,29,0,6.99,2.18,38.17,USD,nafijktm173@brand.com,Customer 2173,FL,United States,29,38.17,FALSE,,
#3335,9/18/24 16:03,,Repair Eye Gel G,2,45,14.59,paid,fulfilled,225,38.88,0,14.38,200.5,USD,wqsrhkc173@gmail.com,Customer 2173,BC,Canada,186.12,200.5,FALSE,,
#6839,4/2/25 13:08,,Clarifying Toner X,1,25,0,paid,partial,44,0,4.99,9.33,58.32,USD,vqnvgw173@gmail.com,Customer 2173,NSW,Australia,44,58.32,FALSE,,
#4324,8/14/25 22:30,,Hydra Cream B,1,49,0,paid,fulfilled,105,0,0,7.24,112.24,USD,pvjnmghmr173@yahoo.com,Customer 2173,NY,United States,105,112.24,TRUE,,
#4207,1/16/25 8:46,,Leggings 01,1,49,0,paid,fulfilled,193,0,9.99,17.21,220.2,USD,tneozpo173@hotmail.com,Customer 2173,WA,United States,193,220.2,FALSE,,
#11367,11/22/24 21:56,,Leggings 01,3,49,44.13,paid,fulfilled,147,44.13,0,12.6,115.47,USD,aspxrz173@hotmail.com,Customer 2173,NSW,Australia,102.87,115.47,FALSE,,
#8918,6/8/25 7:01,,Shorts 01,1,35,13.86,paid,fulfilled,74,32.18,6.99,4.23,53.04,USD,japdrwzdod173@brand.com,Customer 2173,NY,United States,41.82,53.04,FALSE,,
#6425,11/17/24 8:21,,Light Jacket 01,2,79,0,paid,fulfilled,237,0,9.99,15.65,262.64,USD,blhufnzzh173@brand.com,Customer 2173,NY,United States,237,262.64,FALSE,,
#2964,2/6/25 2:52,,Clarifying Toner X,1,25,1.12,partially_refunded,partial,60,2.35,4.99,3.82,44.95,USD,antqzhe173@brand.com,Customer 2173,CA,United States,57.65,44.95,FALSE,,
#9324,6/15/25 0:22,,Radiance Serum A,2,39,0,paid,fulfilled,256,0,0,29.67,285.67,USD,vrvgsc173@gmail.com,Customer 2173,VIC,Australia,256,285.67,FALSE,,
#4303,10/9/24 2:21,,Hoodie 01,2,55,0,paid,fulfilled,110,0,6.99,9.23,126.22,USD,diklgesq173@brand.com,Customer 2173,WA,United States,110,126.22,FALSE,,
#7727,12/4/24 5:42,,Repair Eye Gel G,1,45,8.19,paid,fulfilled,45,8.19,0,3.01,39.82,USD,jevgzvb173@hotmail.com,Customer 2173,IL,United States,36.81,39.82,FALSE,,
#4996,12/2/24 7:35,,Foam Cleanser F,1,21,1.08,paid,fulfilled,21,1.08,0,1.34,21.26,USD,vojmpnwq937@yahoo.com,Customer 937,FL,United States,19.92,21.26,FALSE,,
#2913,9/15/24 1:10,,Premium Tee 02,2,28,0,paid,fulfilled,119,0,9.99,9.24,138.23,USD,xuhblkv173@gmail.com,Customer 2173,TX,United States,119,138.23,FALSE,,
#3116,1/25/25 23:47,,Shorts 01,2,35,0,paid,fulfilled,92,0,6.99,8.49,107.48,USD,mkvhwbjlfc173@yahoo.com,Customer 2173,WA,United States,92,107.48,FALSE,,
#6465,10/18/24 0:29,,Premium Tee 02,2,28,10.89,refunded,fulfilled,56,10.89,0,4.21,0,USD,fmiuye173@gmail.com,Customer 2173,TX,United States,45.11,0,FALSE,,
#2676,9/5/24 3:10,9/9/24 3:10,Leggings 01,1,49,3.46,refunded,fulfilled,49,3.46,4.99,6.49,0,USD,jmludmzt173@hotmail.com,Customer 2173,ENG,United Kingdom,45.54,0,FALSE,,
#10835,12/31/24 19:48,,Revive Mask M,1,29,0,paid,fulfilled,29,0,0,1.81,30.81,USD,ncflscu173@gmail.com,Customer 2173,BC,Canada,29,30.81,FALSE,,
#3541,1/18/25 2:49,,Classic Tee 01,1,22,1.84,paid,unfulfilled,57,5.54,6.99,10.15,68.6,USD,qzvxld173@hotmail.com,Customer 2173,NSW,Australia,51.46,68.6,FALSE,,
#8487,1/7/25 12:46,,Light Jacket 01,1,79,6.21,paid,fulfilled,79,6.21,0,13.86,86.65,USD,iffglzso179@gmail.com,Customer 4179,ENG,United Kingdom,72.79,86.65,FALSE,,
#5996,5/8/25 14:07,,Leggings 01,2,49,8.56,paid,fulfilled,244,16.88,0,26.14,253.26,USD,mvdrgrsi937@hotmail.com,Customer 937,NSW,Australia,227.12,253.26,FALSE,,
#5516,7/12/25 2:53,,Shorts 01,1,35,0,paid,fulfilled,54,0,0,4.73,58.73,USD,dfapji173@hotmail.com,Customer 2173,QC,Canada,54,58.73,FALSE,,
#7136,6/5/25 0:25,,Starter Kit C,1,79,0,paid,fulfilled,177,0,4.99,32.17,214.16,USD,kcvuouq173@hotmail.com,Customer 2173,NSW,Australia,177,214.16,FALSE,,
#5657,9/10/24 10:47,,Light Jacket 01,1,79,0,refunded,fulfilled,79,0,6.99,5.18,0,USD,kwsupebj173@brand.com,Customer 2173,FL,United States,79,0,FALSE,,
#5835,9/28/24 15:33,,Clarifying Toner X,2,25,0,paid,fulfilled,50,0,0,7.34,57.34,USD,vfwurcmbg173@brand.com,Customer 2173,NSW,Australia,50,57.34,FALSE,,
#6458,5/8/25 7:59,,Light Jacket 01,3,79,0,paid,fulfilled,251,0,0,15.68,266.68,USD,ysklcv471@brand.com,Customer 1471,BC,Canada,251,266.68,FALSE,,
#9369,12/26/24 22:31,,Starter Kit C,1,79,0,paid,fulfilled,79,0,0,5.93,84.93,USD,gezmyhii173@yahoo.com,Customer 2173,QC,Canada,79,84.93,FALSE,,
#8269,4/15/25 10:28,,Repair Eye Gel G,2,45,0,paid,fulfilled,104,0,0,6.68,110.68,USD,yvsmcrkzx173@brand.com,Customer 2173,ON,Canada,104,110.68,FALSE,,
#3683,1/7/25 20:39,,Starter Kit C,1,79,0,paid,fulfilled,163,0,9.99,14.25,187.24,USD,bmcctgc937@hotmail.com,Customer 937,BC,Canada,163,187.24,FALSE,,
#9630,6/30/25 1:59,,Foam Cleanser F,1,21,0,paid,fulfilled,89,0,4.99,8.49,102.48,USD,tomarj937@yahoo.com,Customer 937,WA,United States,89,102.48,FALSE,,
#11898,2/27/25 8:43,3/14/25 8:43,Cap 01,1,19,0,refunded,fulfilled,54,0,0,4.11,0,USD,kgxqvhjtq471@brand.com,Customer 1471,CA,United States,54,0,FALSE,,
#3027,1/22/25 12:56,,Light Jacket 01,2,79,0,refunded,partial,158,0,0,18.97,0,USD,ijulxjxoov173@gmail.com,Customer 2173,NSW,Australia,158,0,FALSE,,
#11084,9/7/24 1:02,,Revive Mask M,1,29,0,paid,unfulfilled,119,0,9.99,8.86,137.85,USD,ebrfsloigd173@hotmail.com,Customer 2173,BC,Canada,119,137.85,FALSE,,
#11647,1/9/25 16:07,,Hoodie 01,1,55,0,paid,fulfilled,129,0,6.99,21.5,157.49,USD,wjbbzpv937@yahoo.com,Customer 937,VIC,Australia,129,157.49,FALSE,,
#8629,8/30/24 3:51,9/19/24 3:51,Light Jacket 01,1,79,5.15,refunded,fulfilled,170,12.16,4.99,11.13,0,USD,nbhzwxm173@yahoo.com,Customer 2173,IL,United States,157.84,0,FALSE,,
#8530,8/9/25 20:57,,Foam Cleanser F,4,21,10.94,paid,fulfilled,84,10.94,9.99,6.61,89.66,USD,frbvith537@hotmail.com,Customer 1537,FL,United States,73.06,89.66,TRUE,,
#2855,5/14/25 18:30,,Shorts 01,1,35,0.93,paid,partial,259,6.69,0,19.24,271.55,USD,ovkdgddleq173@hotmail.com,Customer 2173,TX,United States,252.31,271.55,FALSE,,
#8434,1/31/25 11:33,,Revive Mask M,2,29,6.48,paid,fulfilled,58,6.48,0,4.53,56.05,USD,znjfqjk173@hotmail.com,Customer 2173,WA,United States,51.52,56.05,FALSE,,
#11802,12/25/24 13:03,,Foam Cleanser F,2,21,0,paid,fulfilled,121,0,0,7.76,128.76,USD,awxfihm173@hotmail.com,Customer 2173,TX,United States,121,128.76,FALSE,,
#12205,4/14/25 3:26,,Leggings 01,1,49,2.41,paid,fulfilled,49,2.41,0,4.13,50.72,USD,mucvsuxxsh173@yahoo.com,Customer 2173,TX,United States,46.59,50.72,FALSE,,
#12313,7/4/25 1:09,,Leggings 01,1,49,18.11,paid,fulfilled,207,68.14,9.99,13.78,162.63,USD,dexnahkex173@brand.com,Customer 2173,QC,Canada,138.86,162.63,FALSE,,
#2875,5/12/25 3:19,,Premium Tee 02,3,28,0,paid,fulfilled,84,0,4.99,15.69,104.68,USD,dnewmik173@brand.com,Customer 2173,VIC,Australia,84,104.68,FALSE,,
#11396,3/22/25 18:14,,Clarifying Toner X,1,25,0,refunded,partial,130,0,0,7.85,0,USD,idbuvx471@hotmail.com,Customer 1471,TX,United States,130,0,FALSE,,
#2774,5/14/25 18:48,,Leggings 01,3,49,0,paid,unfulfilled,147,0,0,14.21,161.21,USD,oydeybyrr173@gmail.com,Customer 2173,NSW,Australia,147,161.21,FALSE,,
#9833,1/16/25 5:30,,Radiance Serum A,1,39,0,paid,fulfilled,195,0,4.99,16.1,216.09,USD,fgryhwplq173@hotmail.com,Customer 2173,TX,United States,195,216.09,FALSE,,
#12002,11/14/24 22:06,,Clarifying Toner X,2,25,0,paid,fulfilled,50,0,6.99,10.61,67.6,USD,fdbvbfk820@gmail.com,Customer 1820,ENG,United Kingdom,50,67.6,FALSE,,
#11505,4/9/25 1:09,,Starter Kit C,1,79,0,paid,partial,79,0,0,12.35,91.35,USD,pagkzoawt173@yahoo.com,Customer 2173,ENG,United Kingdom,79,91.35,FALSE,,
#3735,4/23/25 0:53,,Shorts 01,1,35,0,paid,fulfilled,217,0,0,30.32,247.32,USD,kuuxzg173@yahoo.com,Customer 2173,ENG,United Kingdom,217,247.32,FALSE,,
#11933,7/8/25 11:42,,Hydra Cream B,2,49,0,paid,unfulfilled,177,0,0,14.01,191.01,USD,nciefbirvq173@gmail.com,Customer 2173,WA,United States,177,191.01,FALSE,,
#6252,7/15/25 17:41,,Glow Oil L,1,35,0,paid,fulfilled,145,0,0,12.12,157.12,USD,nohxxgw173@gmail.com,Customer 2173,IL,United States,145,157.12,FALSE,,
#11482,5/30/25 15:09,,Light Jacket 01,1,79,0,paid,partial,208,0,4.99,15.43,228.42,USD,dmabih173@brand.com,Customer 2173,FL,United States,208,228.42,FALSE,,
#6136,6/8/25 9:04,,Radiance Serum A,1,39,0,paid,fulfilled,88,0,9.99,8.39,106.38,USD,ktusihq937@brand.com,Customer 937,FL,United States,88,106.38,FALSE,,
#10694,4/2/25 13:36,,Light Jacket 01,1,79,0,paid,fulfilled,79,0,4.99,7.81,91.8,USD,iudksl173@brand.com,Customer 2173,TX,United States,79,91.8,FALSE,,
#7699,4/9/25 1:08,,Revive Mask M,1,29,1.13,paid,fulfilled,237,8.77,0,14.77,243,USD,xiskpy173@yahoo.com,Customer 2173,IL,United States,228.23,243,FALSE,,
#8234,3/19/25 16:39,,Revive Mask M,1,29,0,paid,fulfilled,29,0,0,2.73,31.73,USD,dtcibucii173@yahoo.com,Customer 2173,FL,United States,29,31.73,FALSE,,
#10749,6/10/25 3:30,,Cap 01,1,19,2.07,paid,fulfilled,103,11.45,6.99,15.66,114.2,USD,mrjbqrnm173@yahoo.com,Customer 2173,ENG,United Kingdom,91.55,114.2,FALSE,,
#10720,10/7/24 12:59,,Foam Cleanser F,1,21,7.52,paid,unfulfilled,172,58.84,6.99,7.68,127.83,USD,rlupcc471@yahoo.com,Customer 1471,BC,Canada,113.16,127.83,FALSE,,
#6294,12/13/24 16:54,,Cap 01,3,19,0,paid,fulfilled,102,0,6.99,10.86,119.85,USD,jxiswgt173@hotmail.com,Customer 2173,VIC,Australia,102,119.85,FALSE,,
#5203,1/10/25 6:25,,Repair Eye Gel G,1,45,0,paid,fulfilled,45,0,4.99,3.06,53.05,USD,cymlaifi937@hotmail.com,Customer 937,QC,Canada,45,53.05,FALSE,,
#11733,7/9/25 15:17,,Socks 3-Pack,3,14,0,paid,fulfilled,385,0,4.99,57.51,447.5,USD,pdufpfxfj173@hotmail.com,Customer 2173,NSW,Australia,385,447.5,FALSE,,
#11948,11/30/24 3:45,,Hydra Cream B,2,49,0,paid,partial,98,0,4.99,8.53,111.52,USD,hchmuypg173@brand.com,Customer 2173,CA,United States,98,111.52,FALSE,,
#5178,4/7/25 20:59,,Starter Kit C,2,79,0,paid,fulfilled,158,0,6.99,14.17,179.16,USD,qzwyzdjefu173@gmail.com,Customer 2173,FL,United States,158,179.16,FALSE,,
#9365,8/6/25 22:24,,Foam Cleanser F,1,21,0,paid,fulfilled,21,0,4.99,4.84,30.83,USD,hfbdivd173@hotmail.com,Customer 2173,ENG,United Kingdom,21,30.83,TRUE,,
#11752,1/29/25 20:02,,Leggings 01,1,49,0,paid,fulfilled,49,0,4.99,5.21,59.2,USD,vnjjrxr173@yahoo.com,Customer 2173,NSW,Australia,49,59.2,FALSE,,
#5808,6/22/25 10:15,,Hoodie 01,1,55,0,paid,fulfilled,55,0,6.99,4.79,66.78,USD,tgqcxvgaym173@hotmail.com,Customer 2173,QC,Canada,55,66.78,FALSE,,
#3604,10/25/24 3:58,,Shorts 01,2,35,0,paid,fulfilled,119,0,0,10.27,129.27,USD,jgunbo173@brand.com,Customer 2173,NY,United States,119,129.27,FALSE,,
#5942,9/19/24 8:41,,Starter Kit C,1,79,0,paid,fulfilled,192,0,0,14.31,206.31,USD,wrglqdqoz173@hotmail.com,Customer 2173,BC,Canada,192,206.31,FALSE,,
#9955,5/23/25 9:48,,Starter Kit C,2,79,0,paid,fulfilled,228,0,0,16.95,244.95,USD,syaefxwzw471@hotmail.com,Customer 1471,FL,United States,228,244.95,FALSE,,
#3375,9/24/24 23:31,,Shorts 01,3,35,0,paid,fulfilled,259,0,6.99,16.45,282.44,USD,lnjvubnban173@yahoo.com,Customer 2173,QC,Canada,259,282.44,FALSE,,
#5238,2/24/25 13:00,,Socks 3-Pack,1,14,0,paid,fulfilled,183,0,0,17.36,200.36,USD,pgwsdfg471@yahoo.com,Customer 1471,NY,United States,183,200.36,FALSE,,
#5308,11/2/24 20:03,,Leggings 01,1,49,9.3,paid,partial,49,9.3,4.99,3.72,48.41,USD,zqhhje471@brand.com,Customer 1471,CA,United States,39.7,48.41,FALSE,,
#6717,7/3/25 21:31,,Light Jacket 01,1,79,0,paid,unfulfilled,79,0,6.99,7.77,93.76,USD,tbxipgds173@hotmail.com,Customer 2173,IL,United States,79,93.76,FALSE,,
#9170,12/23/24 22:12,,Classic Tee 01,1,22,0.61,paid,fulfilled,66,2.16,0,11.81,75.65,USD,ufveeepe173@hotmail.com,Customer 2173,NSW,Australia,63.84,75.65,FALSE,,
#9055,1/30/25 0:17,,Leggings 01,1,49,3.11,paid,partial,49,3.11,4.99,3.25,54.13,USD,cqehgfeg173@gmail.com,Customer 2173,WA,United States,45.89,54.13,FALSE,,
#9942,6/20/25 13:43,,Cap 01,1,19,0,paid,fulfilled,212,0,6.99,15.96,234.95,USD,gtcecb173@gmail.com,Customer 2173,TX,United States,212,234.95,FALSE,,
#10571,7/6/25 2:59,,Socks 3-Pack,1,14,0,paid,fulfilled,14,0,9.99,1.73,25.72,USD,jzqmuus173@brand.com,Customer 2173,FL,United States,14,25.72,FALSE,,
#7371,12/6/24 18:11,,Starter Kit C,2,79,0,paid,partial,158,0,0,10.56,168.56,USD,mbenwzyt471@yahoo.com,Customer 1471,BC,Canada,158,168.56,FALSE,,
#8659,2/4/25 5:48,,Premium Tee 02,1,28,0,paid,fulfilled,110,0,0,8.53,118.53,USD,qxuhcj173@gmail.com,Customer 2173,QC,Canada,110,118.53,FALSE,,
#3302,7/3/25 11:39,,Radiance Serum A,1,39,0,paid,fulfilled,64,0,9.99,4.61,78.6,USD,fahvbfce173@gmail.com,Customer 2173,ON,Canada,64,78.6,FALSE,,
#11932,9/26/24 2:23,,Classic Tee 01,1,22,0,paid,fulfilled,22,0,0,2.05,24.05,USD,sentljralr173@yahoo.com,Customer 2173,WA,United States,22,24.05,FALSE,,
#7567,12/1/24 17:30,,Classic Tee 01,1,22,0,refunded,partial,22,0,0,1.84,0,USD,vyyxui173@yahoo.com,Customer 2173,QC,Canada,22,0,FALSE,,
#8857,9/15/24 1:07,,Hydra Cream B,2,49,26.32,refunded,unfulfilled,254,65.16,0,20.95,0,USD,rkpkzq173@gmail.com,Customer 2173,VIC,Australia,188.84,0,FALSE,,
#5714,11/15/24 12:30,,Premium Tee 02,1,28,5.53,paid,fulfilled,77,11.91,0,4.7,69.79,USD,xnpzwc937@gmail.com,Customer 937,IL,United States,65.09,69.79,FALSE,,
#4435,6/11/25 13:22,,Repair Eye Gel G,1,45,0,paid,fulfilled,85,0,0,5.63,90.63,USD,burqntqwfh937@brand.com,Customer 937,CA,United States,85,90.63,FALSE,,
#6237,3/6/25 2:49,,Radiance Serum A,1,39,0,paid,unfulfilled,119,0,0,9.84,128.84,USD,vjcaeqhvtq937@hotmail.com,Customer 937,NY,United States,119,128.84,FALSE,,
